Issue key,Issue id,Project Manager,Status,Priority,Marketing Need,Business Impact,Summary,Customer Interest,Product,Product Manager
SLE-22865,503112,fcrozat,TPM Evaluates,Should Have,Low,,Update libvpx in SLE15-SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22856,503094,admehmood,TPM Evaluates,Should Have,Medium,Medium,Upgrade Prometheus package to version 2.31,,SUSE Linux Enterprise Server 15 SP4,BLandorff
SLE-22855,503090,ihno,TPM Evaluates,Must Have,High,High,Tool to persistently configure vfio-ap devices - s390-tools part,High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-22854,503088,ihno,TPM Evaluates,Must Have,High,High,KVM: Secure Execution Attestation Userspace Tool (s390-tools),High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-22853,503087,ihno,TPM Evaluates,Must Have,High,High,openCryptoki ep11 token: vendor specific key derivation,High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-22831,502941,aginies,In Progress,Must Have,Medium,Medium,Support SEV instance live migration in GCE,High,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-22730,502687,aginies,Ready to release,Should Have,Medium,,"[HPC] open firewall port for munge, slurm, dolly",,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22725,502670,Jeffreycheung,In Progress,Could Have,,,ADL-P graphics update,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-22724,502669,Jeffreycheung,Ready to release,Could Have,,,ADL-S graphics update,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-22721,502666,Jeffreycheung,Ready to release,Could Have,,,Intel Speed Select: SPR 4 + sockets support,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-22720,502665,Jeffreycheung,Ready to release,Could Have,,,Intel Speed Select: Optimize CPU to PCI device mapping,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-22704,502596,gameboy974,In Progress,Should Have,Medium,Medium,Enable AppArmor by default on JeOS images,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22694,502497,gameboy974,TPM Evaluates,Should Have,Medium,Low,"Add the tool ""reg"" to the SLE Containers module (SLE 15 SP4)",Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22690,502487,Jeffreycheung,In Progress,Should Have,Medium,High,Add Realtek RTL8821CE WiFi chip support both in SLES15 SP3 and SP4,High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22676,502109,Jeffreycheung,In Progress,Should Have,High,,hwmon: (k10temp) Add support for Zen3 CPUs (Milan),High,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-21333,492961,suntorytimed,TPM Evaluates,Could Have,Medium,Low,make zypper logging configurable,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21332,492957,fcrozat,TPM Evaluates,Should Have,Low,,15 SP4 xdg-utils update,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21329,492954,suntorytimed,In Progress,Should Have,Medium,,[tech preview] zypper single transaction performance enhancement (RFE),,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21321,492861,suntorytimed,In Progress,Should Have,Low,,Update cmake for 15 SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21315,492796,Jeffreycheung,Ready to release,Should Have,Medium,Medium,Support PTDMA for NTB,Medium,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-21259,492661,suntorytimed,In Progress,Should Have,Low,,Remove nodejs12 from SLE15 SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21256,492641,suntorytimed,In Progress,Should Have,Medium,,Enable zstd compression for kernel modules,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21255,492640,suntorytimed,In Progress,Could Have,Low,,Update libxml2 and libxslt to the latest version in SLE-15-SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21254,492639,suntorytimed,In Progress,Could Have,Low,,Update logrotate to the latest version in SLE-15-SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21253,492638,suntorytimed,In Progress,Could Have,Low,,Update expat to the latest version in SLE-15-SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21252,492637,suntorytimed,In Progress,Could Have,Low,,Update rsync to the latest version in SLE-15-SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21251,492636,suntorytimed,In Progress,Could Have,Low,,Update tcpdump and libpcap to the latest version in SLE-15-SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21237,492605,suntorytimed,In Progress,Could Have,Medium,,freeradius-server update to latest in SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21236,492604,suntorytimed,In Progress,Should Have,Medium,,Add nodejs16 to Web and Scripting module,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21233,492601,suntorytimed,TPM Evaluates,Should Have,Low,,Update nodejs-common for SLE15 SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21225,492571,rtsvetkov,In Progress,Could Have,Low,,"New option for adcli : ""--dont-expire-password=yes|no|true|false""",,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21578,493690,ta-ro,In Progress,Should Have,Medium,,[PROCESS][RN] Make SLES Release Notes more accessible to partners,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20820,491174,suntorytimed,TPM Evaluates,Could Have,Low,Low,talking about slaves,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20810,491154,suntorytimed,TPM Evaluates,Should Have,Medium,,Update redis to its latest stable version,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20734,490901,ihno,In Progress,Must Have,High,High,Upgrade libgcrypt to latest version >= 1.9.x (crypto),High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-20733,490900,ihno,In Progress,Must Have,High,High,Upgrade nettle to latest version >= 3.7.4 (crypto),High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-20728,490894,Jeffreycheung,Ready to release,Should Have,Medium,Medium,Support configurable stripe size for MD RAID5,Medium,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20712,490878,a_faerber,Ready to release,Should Have,,,Update the rshim from v2.0.5.8.3-bp153.1.8 to rshim-2.0.5-9.1,,SUSE Linux Enterprise Server 15 SP4,poswald
SLE-20679,490842,suntorytimed,In Progress,Should Have,Low,,bump stunnel to 5.59 ,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20673,490832,suntorytimed,In Progress,Should Have,High,Medium,Provide the recent PostgreSQL release (14.x) with SLE 15 SP4,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20671,490830,suntorytimed,In Progress,Should Have,High,Medium,Provide the recent MariaDB release (10.6) with SLE 15 SP4,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20647,490762,aherzig,Rejected,Must Have,Medium,High,Customer wants SSSD on SLES to support AD over LDAPS like RHEL supports,Very High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20639,490530,LPechacek,In Progress,Should Have,Low,,suse-module-tools: move modprobe.d and depmod.d config files from /etc to /lib,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20638,490529,msmeissn,Released,Must Have,Low,High,Provide pam_faillock to SLE12 and SLE15,Medium,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-20587,490451,suntorytimed,In Progress,Should Have,Medium,,Provide Detailed Information on SP Changes on Package Level,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20582,490369,Jeffreycheung,Ready to release,Could Have,Low,,Bug fixes in ipoib and potential security related fixes,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-20581,490368,Jeffreycheung,Ready to release,Could Have,Medium,,Update libfabrics to get access to OPX provider,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-20580,490367,Jeffreycheung,Ready to release,Should Have,Medium,,Update PSM2 library to have access to GPU updates and bug fixes,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-20579,490366,Jeffreycheung,Ready to release,Should Have,Medium,,Update fast fabric tools to provide additional reporting capability,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-20578,490365,Jeffreycheung,Ready to release,Could Have,Low,,Fix gcc problems with opa-fm and ipoib stability improvements,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-20577,490358,suntorytimed,In Progress,Should Have,Medium,,Update Samba to 4.15,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20563,490342,suntorytimed,In Progress,Should Have,Low,Medium,"YaST has to assign subuids/subgids, like useradd",Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20552,490331,suntorytimed,Rejected,Should Have,Low,,Create warning check in Autoyast for UEFI boot partition sizes below 256 MB,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20547,490324,suntorytimed,In Progress,Could Have,Medium,,A way to choose between dark and light mode depending on customer needs,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20538,490311,Jeffreycheung,Ready to release,Could Have,,,[ADL-M] Alder Lake-M Audio Support,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-20535,490307,suntorytimed,TPM Evaluates,Should Have,Low,,Improved booting from remote disks,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20533,490304,suntorytimed,In Progress,Wish to Have,Low,Low,Customer wants ability to control which kernel the GRUB2 menu entry SLES 15-SP2 loads,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21179,492374,suntorytimed,In Progress,Could Have,Low,,Update lftp to version 4.9.2,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21178,492373,suntorytimed,In Progress,Could Have,Low,,Update fdupes to 2.1.2,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21177,492372,suntorytimed,In Progress,Could Have,Low,,Update mlocate to Factory version,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21176,492371,suntorytimed,In Progress,Could Have,Low,,Update haveged to version 1.9.14,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21175,492370,suntorytimed,In Progress,Could Have,Low,,Update netcat-openbsd to version 1.203,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21174,492369,suntorytimed,In Progress,Could Have,Low,,Update re2c to version 2.1.1,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21173,492368,suntorytimed,In Progress,Could Have,Low,,Update usb_modeswitch to version 2.6.1,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21172,492367,suntorytimed,In Progress,Could Have,Low,,Update bonnie to version 1.6,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21171,492366,suntorytimed,In Progress,Could Have,Low,,Update ed to version 1.17,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21170,492365,suntorytimed,In Progress,Could Have,Low,,Update vsftpd to version 3.0.4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21167,492246,suntorytimed,In Progress,Should Have,Medium,,refresh all python-* packages in SLE-15 with the Factory versions,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21166,492243,Jeffreycheung,Ready to release,Could Have,,,ADL Thermal Support,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-21158,492234,katiarojas,In Progress,Must Have,Low,Medium,FIPS 140-3: make OpenJDK be able to use the NSS certified crypto,Medium,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-21157,492233,msmeissn,In Progress,Must Have,High,High,FIPS: implement the IPSEC KDF for strongswan in openssl,Very High,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-21134,492196,aginies,In Progress,Should Have,Medium,Medium,KVM host secure boot support for VMs,Medium,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-21132,492193,katiarojas,In Progress,Must Have,Low,High,FIPS 140-3: make Kernel module ready for certification process,Very High,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-21130,492191,katiarojas,In Progress,Must Have,Low,High,FIPS 140-3: make Mozilla-NSS module ready for certification process,Very High,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-21128,492189,katiarojas,In Progress,Must Have,Low,High,FIPS 140-3: make Libgcrypt module ready for certification process,Very High,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-21126,492187,katiarojas,In Progress,Must Have,Low,High,FIPS 140-3: make GnuTLS and Libnettle module ready for certification process,Very High,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-21124,492184,katiarojas,In Progress,Must Have,Low,High,FIPS 140-3: make Openssl module ready for certification process,Very High,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-21117,492170,suntorytimed,In Progress,Could Have,Low,,sle15sp4: Update nmap to 7.92,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21116,492169,suntorytimed,In Progress,Should Have,Low,,Update UPS packages,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21115,492168,suntorytimed,TPM Evaluates,Wish to Have,Low,,Change spec style for util-linux from multi-spec to multibuild,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21114,492167,suntorytimed,In Progress,Could Have,Low,,Update libgpg-error to the latest version in SLE-15-SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21113,492166,suntorytimed,In Progress,Should Have,Low,,Update libusb-1_0 and libusb-compat,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21111,492164,suntorytimed,In Progress,Should Have,Low,,Upgrade util-linux to deliver lastest features and fixes,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21109,492162,suntorytimed,In Progress,Should Have,Low,,Update groff,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21108,492161,suntorytimed,In Progress,Could Have,Low,,sles15sp4: Update libnftnl to 1.2.0,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21107,492160,suntorytimed,In Progress,Should Have,Low,,Update kbd,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21106,492159,suntorytimed,In Progress,Could Have,Low,,Update yaml-cpp,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21102,492155,suntorytimed,In Progress,Could Have,Low,,sles15sp4: Update libarchive to 3.5.2,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21101,492154,suntorytimed,In Progress,Could Have,Low,,sles15sp4: Update whois to 5.5.10,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21100,492153,suntorytimed,In Progress,Should Have,Low,,Update smartmontools to the latest version,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21060,491960,Jeffreycheung,Ready to release,Could Have,Medium,,Deprecate opa-fmgui,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-21059,491955,suntorytimed,In Progress,Should Have,Low,,sle15sp4: Update apache2-mod_security2 to 2.9.4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21058,491954,Jeffreycheung,Rejected,Could Have,Low,,"The default boost version is rather old, a newer default would be beneficial",,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21560,493653,aginies,In Progress,Could Have,Medium,,add support for SPICE guest agent in installer,,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-21551,493523,Jeffreycheung,Ready to release,Could Have,Low,,Include python-dasbus pacakge in SLES 15 SP4,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-21537,493502,aginies,In Progress,Could Have,Medium,,Prefer UEFI when creating new virtual machines,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21526,493266,suntorytimed,In Progress,Should Have,Low,,update strace,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21525,493265,suntorytimed,In Progress,Should Have,Medium,,Update pam_u2f to 1.1.1 (or later),,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21524,493263,rtsvetkov,Ready to release,Should Have,Medium,Medium,Request for new rsyslog version (8.2104.0),Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20931,491469,fcrozat,In Progress,Must Have,Low,,reduce rpm package dependency,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20930,491468,aherzig,In Progress,Must Have,High,Medium,The SLE BCI is larger than competitors ,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20928,491464,suntorytimed,In Progress,Should Have,Medium,Medium,autoyast grub2 password protection,High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20926,491457,suntorytimed,In Progress,Should Have,Medium,,Support unified cgroup hierarchy,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20925,491454,fcrozat,Rejected,Should Have,,,Request to python-ipython715 on SLE 15 SP4.,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20924,491453,suntorytimed,In Progress,Could Have,Medium,,Simplify the YaST wireless configuration and support multiple networks,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20923,491452,fcrozat,TPM Evaluates,Could Have,,,Remove libmodman package on SLE-15-SP4.,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20908,491328,ta-ro,In Progress,Must Have,Medium,Low,document lifecycles and support of various components in SLE  better,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20907,491327,Jeffreycheung,In Progress,Could Have,Medium,,[SLES15 SP4 Feat] Intel QAT Update - QATEngine ,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20906,491326,Jeffreycheung,In Progress,Could Have,Medium,,[SLES15 SP4 Feat] Intel QAT Update - QATZip,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20855,491229,ihno,In Progress,Must Have,High,High,KVM: Enable vfio-ccw and vfio-ap in virt-* tools (virt-manager),High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-21050,491922,suntorytimed,In Progress,Could Have,Low,,sle15sp4: Update adns to 1.6.0,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21049,491921,suntorytimed,In Progress,Should Have,Low,,sle15sp4: Update tar to 1.34,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21048,491920,suntorytimed,In Progress,Could Have,Low,,sle15sp4: Update bzip2 to 1.0.8,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21047,491919,suntorytimed,In Progress,Could Have,Low,,Update curl to the latest version in SLE-15-SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21046,491918,suntorytimed,In Progress,Wish to Have,Low,,sle15sp4: Update hdparm to 9.62,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21045,491917,suntorytimed,In Progress,Could Have,Low,,sle15sp4: Update at to the newer version,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21044,491916,Jeffreycheung,In Progress,Should Have,Medium,,Update fwupd,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21042,491909,suntorytimed,In Progress,Should Have,Medium,Medium,Make AppArmor or SELinux Story Finally Great,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21037,491892,suntorytimed,In Progress,Should Have,Low,Medium,Update subversion to 1.14.1 in SLE15-SP4,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21036,491891,suntorytimed,In Progress,Could Have,Low,Low,Update less to 590,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21035,491890,suntorytimed,In Progress,Could Have,Low,Low,Update dump to 0.4b47,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21034,491889,suntorytimed,In Progress,Could Have,Low,Low,Update cpio to 2.13,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21033,491888,suntorytimed,Rejected,Could Have,Low,Low,Update libidn to 1.38 in SLE15-SP4,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21017,491745,rtsvetkov,In Progress,Should Have,Medium,High,The tcl package in SLES 12 & 15 is over 4 years old (8.6.7) and 8.6.9 is a support requirement for ISV application on SLES.,Very High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21014,491741,suntorytimed,In Progress,Could Have,Low,,Update augeas to 1.12.0,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21013,491739,suntorytimed,In Progress,Could Have,Low,,Update ftgl to 2.4.0,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21012,491738,suntorytimed,In Progress,Could Have,Medium,,update glew to 2.2.0,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20960,491660,suntorytimed,In Progress,Could Have,Low,,15sp4: version update of ImageMagick to 7.1.newest,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20959,491659,suntorytimed,In Progress,Could Have,Low,,15sp4: version update of libjpeg-turbo to 2.1.newest,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20958,491658,suntorytimed,In Progress,Could Have,Low,,15sp4: version update of php7 to 7.4.newest,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20957,491657,suntorytimed,In Progress,Could Have,Low,,15sp4: version update of mtools to 4.0.newest,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20956,491656,suntorytimed,In Progress,Could Have,Low,,15sp4: version update of lz4 to 1.9.newest,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20955,491655,suntorytimed,In Progress,Could Have,Low,,15sp4: version update of libzip to 1.8.newest,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20954,491654,suntorytimed,In Progress,Could Have,Low,,15sp4: version update of libraw to 20.0.newest,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20953,491653,suntorytimed,In Progress,Should Have,Medium,,15sp4: version update of apache2 to 2.4.newest,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22664,501467,ta-ro,In Progress,Should Have,Low,Low,XFS deprecates V4 format,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22653,501371,aginies,In Progress,Must Have,High,Medium,Virtualized TPM (vTPM) support in the context of Windows 2022 SVVP - Xen,Medium,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-22652,501370,aginies,In Progress,Must Have,High,Medium,Virtualized TPM (vTPM) support in the context of Windows 2022 SVVP - KVM,Medium,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-22616,501170,a_faerber,Ready to release,Should Have,Medium,Low,Ship and support Rockchip RK3399 PWM driver,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22601,501097,Jeffreycheung,Ready to release,Could Have,,,Elkhart Lake and Jasper Lake Graphics enabling,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-22575,500887,msmeissn,In Progress,Must Have,Low,Low,Disable unprivileged eBPF due to security issues,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22543,500767,suntorytimed,In Progress,Should Have,Low,,Customer Requests to include the package libibn-tools again in SLES15SP4,Very High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22542,500766,suntorytimed,In Progress,Should Have,Medium,,Update Efibootmgr to v17+,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22290,498097,suntorytimed,In Progress,Should Have,Medium,,Improve rust developer tools,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22289,498095,suntorytimed,In Progress,Should Have,Medium,,Update squid to current stable branch in SLE15 SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22253,497988,ihno,In Progress,Must Have,High,High,BINUTILS: Support for new IBM Z Hardware - GDB Part,High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-22250,497974,msmeissn,Rejected,Must Have,Low,High,yast2 bootloader should do TPM support via grub2-tpm.efi,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22244,497455,aginies,In Progress,Could Have,,,CPU Features: AMX (TMUL) - KVM and qemu,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-22233,497319,Jeffreycheung,Ready to release,Must Have,Medium,Medium,ahci: Decouple Dell SW-RAID solution from underlying PCH-RAID device-ids,Medium,SUSE Linux Enterprise Server 15 SP4,LanceOrtiz
SLE-22204,497194,suntorytimed,In Progress,Could Have,Medium,,Update Salt to latest release version (3003.3) in 15 SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22187,497152,aherzig,In Progress,Must Have,High,Medium,Enrich SLE BCI repository,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22496,500523,ihno,TPM Evaluates,Must Have,High,High,Fix Massive Throughput Degradation with the RoCE Express2 25 GbE Card Permanently,High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-22489,500065,a_faerber,TPM Evaluates,Should Have,,Medium,Enable NXP S32G automotive SoC,Medium,SUSE Linux Enterprise Server 15 SP4,joachimwerner
SLE-22479,499981,horon,In Progress,Should Have,Medium,High,inclusion of reset_rmc module for SLES packaged cloudinit,High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22478,499979,LPechacek,Ready to release,Could Have,,,[SLES15 SP4 Feat] Intel QAT Update - Kernel,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-22396,499675,aherzig,In Progress,Should Have,Medium,Medium,BCI: Perl Language Container ,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22394,499673,aherzig,In Progress,Should Have,High,,Support BCI images with PHP runtime,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22392,499671,aherzig,In Progress,Should Have,Medium,Medium,BCI: Rust Language Container,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22390,499668,aherzig,In Progress,Should Have,Medium,Medium,BCI: Ruby Language Container,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21924,495754,suntorytimed,In Progress,Should Have,Low,,Update btrfs-progs to v5.14,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21914,495393,suntorytimed,In Progress,Should Have,Low,Low,replace bzr with breezy,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21913,495381,suntorytimed,In Progress,Should Have,Low,,Update sudo to the latest version in SLE15SP4,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22296,498182,aginies,Ready to release,Should Have,Low,Low,Deprecate LXC / libvirt-lxc / virt-bootstrap  (SLE 15 SP4),Low,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-21874,495160,Jeffreycheung,Ready to release,Could Have,,,Retrieve and print retry_rd_err_log registers for ICX,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-21873,495150,fcrozat,TPM Evaluates,Could Have,Low,,Find a proper alternative to the hack that prevents the creds to be requested when the power button is pressed within GNOME,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21870,495134,Jeffreycheung,TPM Evaluates,Could Have,,,Backport MEMORY_DEVICE_PUBLIC patches to SLES 15 SP4,,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-19491,486475,Jeffreycheung,Ready to release,Could Have,,,IOMMU: Allow devices to have more than 32 outstanding PRQ,,SUSE Linux Enterprise Server 15 SP4,macrue
SLE-19427,486275,suntorytimed,Rejected,Must Have,Low,Low,Port request for docker/moby patch,Medium,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-19303,486049,LPechacek,Ready to release,Could Have,,,[SLES15 SP4] VMD/VROC support,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-19302,486048,Jeffreycheung,Rejected,Could Have,,,[SLES15 SP4] MKTME support,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-19300,486046,aginies,Rejected,Could Have,High,,[SLES15 SP4] Support AMD SEV-SNP Feature,,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-19299,486045,Jeffreycheung,Ready to release,Could Have,,,Support AST2600 chip,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19298,486044,aginies,Rejected,Could Have,,,[SLES15 SP4] HLAT support,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-19297,486043,LPechacek,Ready to release,Could Have,,,  [SLES15 SP4] CrowPass enabling,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
SLE-19296,486042,aginies,In Progress,Could Have,,,[SLES15 SP4] KVM VM Denial of Service Prevention,,SUSE Linux Enterprise Server 15 SP4,huizhizhao
