Issue key;Issue id;Custom field (Project Manager);Assignee;Status;Priority;Custom field (Marketing Need);Custom field (Team Leader);Custom field (Worker);Custom field (Business Impact);Custom field (Product Impact);Summary;Custom field (Customer Interest)
SLE-21819;494741;suntorytimed;;Planning;Should Have;;kstreitova;none;;N/A;Dev: refresh all python-* packages in SLE-15 with the Factory versions;
SLE-21815;494737;suntorytimed;psimons;Open;Could Have;;kstreitova;none;;Low;Dev: Update vsftpd to version 3.0.4;
SLE-21811;494733;suntorytimed;psimons;Open;Could Have;;kstreitova;none;;Low;Dev: Update ed to version 1.17;
SLE-21808;494730;suntorytimed;psimons;Open;Could Have;;kstreitova;none;;Low;Dev: Update bonnie to version 1.6;
SLE-21805;494727;suntorytimed;psimons;Open;Could Have;;kstreitova;none;;Low;Dev: Update usb_modeswitch to version 2.6.1;
SLE-21802;494724;suntorytimed;psimons;Open;Could Have;;kstreitova;none;;Medium;Dev: Update re2c to version 2.1.1;
SLE-21798;494720;suntorytimed;psimons;Open;Could Have;;kstreitova;none;;Low;Dev: Update netcat-openbsd to version 1.203;
SLE-21795;494717;suntorytimed;ohollmann;Open;Could Have;;kstreitova;none;;Low;Dev: Update haveged to version 1.9.14;
SLE-21792;494714;suntorytimed;psimons;Open;Could Have;;kstreitova;none;;Low;Dev: Update mlocate to Factory version;
SLE-21788;494710;suntorytimed;psimons;Open;Could Have;;kstreitova;none;;Low;Dev: Update fdupes to 2.1.2;
SLE-21785;494707;suntorytimed;psimons;Open;Could Have;;kstreitova;none;;Low;Dev: Update lftp to version 4.9.2;
SLE-21780;494702;suntorytimed;;Rejected;Should Have;;bruclik;none;;N/A;Dev: Add nodejs16 to Web and Scripting module;
SLE-21775;494697;suntorytimed;pmonrealgonzalez;Done;Could Have;;kstreitova;pmonrealgonzalez;;Low;Dev: Update tcpdump and libpcap to the latest version in SLE-15-SP4;
SLE-21771;494693;suntorytimed;pmonrealgonzalez;Done;Could Have;;kstreitova;pmonrealgonzalez;;Low;Dev: Update rsync to the latest version in SLE-15-SP4;
SLE-21768;494690;suntorytimed;pmonrealgonzalez;Done;Could Have;;kstreitova;pmonrealgonzalez;;Low;Dev: Update expat to the latest version in SLE-15-SP4;
SLE-21765;494687;suntorytimed;pmonrealgonzalez;Done;Could Have;;kstreitova;pmonrealgonzalez;;Low;Dev: Update logrotate to the latest version in SLE-15-SP4;
SLE-21762;494684;suntorytimed;pmonrealgonzalez;Done;Could Have;;kstreitova;pmonrealgonzalez;;Low;Dev: Update libxml2 and libxslt to the latest version in SLE-15-SP4;
SLE-21758;494680;suntorytimed;;In Progress;Should Have;;jeff_mahoney;none;;N/A;Dev: Enable zstd compression for kernel modules;
SLE-21755;494677;suntorytimed;gyribeiro;Open;Should Have;;Neyleah;none;;Medium;Dev: Remove nodejs12 from SLE15 SP4;
SLE-21752;494674;suntorytimed;simotek;Done;Should Have;;kstreitova;none;;Medium;Dev: Update cmake for 15 SP4;
SLE-21697;494453;Jeffreycheung;;Rejected;Should Have;;hreinecke;NMoreyChaisemartin;;N/A;Dev: Update OPAE package to latest mainline/factory version;
SLE-22122;496032;suntorytimed;pmonrealgonzalez;Done;Could Have;;kstreitova;none;;Low;Dev: Update libgpg-error to the latest version in SLE-15-SP4;
SLE-22119;496026;suntorytimed;sbrabec;Done;Should Have;;kstreitova;sbrabec;;Low;Dev: Update UPS packages;
SLE-22113;496018;suntorytimed;sbrabec;Rejected;Should Have;;kstreitova;none;;N/A;Dev: Update smartmontools to the latest version;
SLE-22110;496015;suntorytimed;dspinella;Done;Could Have;;kstreitova;none;;Low;Dev: sles15sp4: Update whois to 5.5.10;
SLE-22107;496012;suntorytimed;dspinella;Done;Could Have;;kstreitova;none;;Low;Dev: sles15sp4: Update libarchive to 3.5.2;
SLE-22104;496009;suntorytimed;sbrabec;Done;Could Have;;kstreitova;sbrabec;;Low;Dev: Update yaml-cpp;
SLE-22103;496008;suntorytimed;;Rejected;Should Have;;yfjiang;none;;N/A;Dev: [gnome] Update kbd;
SLE-22102;496007;suntorytimed;;In Progress;Should Have;;Neyleah;none;;N/A;Dev: [pattern] Update kbd;
SLE-22101;496006;suntorytimed;;In Progress;Should Have;;locilka;none;;Low;Dev: [yast] Update kbd;
SLE-21658;494288;suntorytimed;rmax;Done;Should Have;;sfent;none;;N/A;Dev: Provide the recent PostgreSQL release (14.x) with SLE 15 SP4;
SLE-20883;491280;;;Rejected;Should Have;;mhocko;none;;Medium;Dev: SGX (Intel Software Guard Extensions) Support - User Space Part;
SLE-20876;491271;;aginies;Done;Could Have;;anicka;aginies;;N/A;Dev: Request to include mpi/cray-shasta plugin in slurm for 15-SP4;
SLE-20874;491269;;;In Progress;Should Have;;claudiofontana;kallan;;N/A;Dev: KVM: Deliver VMDP drivers for windows as containers;
SLE-20872;491267;;;Planning;Should Have;;jmcdough;none;;N/A;Dev: HPC:  Improve system to be ready for HPC;
SLE-20870;491265;aginies;aginies;In Progress;Should Have;;jmcdough;none;;N/A;Dev: HPC:  optimise the product focusing on a SLE HPC ready OS (SLE 15 SP4: drop);
SLE-19590;486922;;;Rejected;Could Have;;ptesarik;none;;N/A;Dev: DSA: DSA clear page engine;
SLE-19587;486896;;joro;Done;Could Have;;mhocko;none;;N/A;Dev: IOMMU: [IOMMU] Improve the map/unmap APIs in the iommu core;
SLE-19582;486887;;bpetkov;Done;Could Have;;mhocko;none;;Low;Dev: RAS: EDAC driver support for SPR with 2-level memory ;
SLE-19578;486877;;joeyli;Rejected;Could Have;;joeyli;none;;N/A;Dev: CPU Features: Enable vAES-CTR optimization;
SLE-19569;486866;;jirislaby;Done;Could Have;;mhocko;none;;N/A;Dev: Fixes and improvements for FPU handling on x86 (Pre-req AMX);
SLE-19565;486860;;sndirsch;Done;Could Have;;ptesarik;none;;N/A;Dev: Rebase Mesa for SLE 15 SP4;
SLE-19552;486604;;xiaoguang_wang;Done;Must Have;;yfjiang;none;;Medium;Dev: Ensure DISPLAY variable doesn't change between gdm login and user session;
SLE-19550;486602;;sndirsch;Done;Must Have;;ptesarik;none;;N/A;Dev: Separate xwayland from main xorg-server package;
SLE-19548;486600;;suntorytimed;Open;Must Have;;Neyleah;none;;N/A;Dev: Make NetworManager available in 15 SP4 only through Workstation Extension;
SLE-19546;486598;;mgorse;In Progress;Should Have;;sreeves1;none;;N/A;Dev: Drop perl requirement in xdg-utils;
SLE-19544;486596;;yfjiang;Done;Should Have;;yfjiang;none;;High;Dev: Add GTK 4.0;
SLE-19542;486594;;yfjiang;Open;Should Have;;yfjiang;none;;Low;Dev: Update python-pycairo to 1.20.0;
SLE-19540;486592;;alarrosa;In Progress;Should Have;;sreeves1;alarrosa;;Low;Dev:  Qt5 stack update to 5.15.2 + KDE patches ;
SLE-19538;486590;;yfjiang;Open;Could Have;;yfjiang;;;Medium;Dev: Customer is requesting SUSE use updated cairo package with SLES.;
SLE-19531;486577;;;Open;Could Have;;claudiofontana;dfaggioli;;N/A;Dev: KVM: Fine-grained control of CPU-cache topology for VMs;
SLE-19527;486572;;aginies;In Progress;Should Have;;claudiofontana;vulyanov;;N/A;Dev: kubevirt SEV: upstream support for basic AMD-SEV and SEV-ES;
SLE-19508;486508;;bpetkov;Rejected;Could Have;;mhocko;none;;Medium;"Dev: RAS, SGX: SGX - MCA Recovery";
SLE-19472;486344;;firstyear;Open;Should Have;;jmcdough;none;;Medium;Dev: Update rust regularly to follow upstream more closely;
SLE-19466;486333;;bpetkov;Done;Should Have;;mhocko;none;;Medium;Dev: SGX (Intel Software Guard Extensions) Support - Kernel Part;
SLE-19457;486323;;LMartin;Open;Should Have;;STorresi;none;;Low;Dev: SAPHanaSR improve fast-dying indexserver support;
SLE-19451;486315;;pluskalm;Done;Could Have;;ptesarik;;;N/A;Dev: Thunderbolt: TBT SW CM AR/TR host router NVM update - user space part;
SLE-19446;486295;;sndirsch;Done;Could Have;;ptesarik;sndirsch;;N/A;Dev: Media driver enablement;
SLE-19444;486293;;;Planning;Could Have;;ptesarik;oneukum;;N/A;Dev: Thunderbolt: TBT SW CM AR/TR host router NVM update;
SLE-19442;486291;;;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: Garfield Peak 4 discrete supporting Wi-Fi 6E AX411;
SLE-19440;486289;;sndirsch;Done;Could Have;;ptesarik;sndirsch;;N/A;Dev: graphics update: Mesa;
SLE-19434;486283;;;In Progress;Could Have;;ptesarik;oneukum;;N/A;Dev: Thunderbolt: TBT SW CM AR/TR lane bonding support;
SLE-19432;486281;;;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: Garfield Peak 2 discrete supporting Wi-Fi 6E AX211;
SLE-19425;486257;;tsbogend;Done;Should Have;;hreinecke;tsbogend;;Low;Dev: Intel Omni Path hfi1 driver: update to the latest upstream version;
SLE-19423;486214;;NMoreyChaisemartin;Done;Should Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update the Mellanox MFT Tool for Secure Firmware support to the latest upstream version;
SLE-19415;486206;;;Blocked;Must Have;;ptesarik;michals;;Medium;Dev: Administrator-authorized verification key (for IMA) (crypto);
SLE-19411;486202;;michals;Blocked;Must Have;;ptesarik;michals;;Low;Dev: Kernel lockdown for POWER (required for secure boot) (crypto/ima);
SLE-19409;486200;;jsikes;Open;Must Have;;kstreitova;none;;N/A;Dev: [P10] POWER10 performance enhancements for cryptography: OpenSSL;
SLE-19407;486198;;;Open;Must Have;;ptesarik;michals;;Medium;Dev: Add build-time verification key for IMA module verification keys (crypto);
SLE-19405;486196;;;Open;Must Have;;ptesarik;none;;Low;Dev: Avoid the need to reload kdump service on CPU DLPAR operations (kdump);
SLE-19399;486190;;pluskalm;In Progress;Must Have;;pluskalm;pluskalm;;N/A;Dev: lshw package update for ppc64le;
SLE-19397;486188;;;Blocked;Must Have;;ptesarik;michals;;Low;Dev: libvpd package update - ppc64le;
SLE-19393;486184;;michals;In Progress;Must Have;;ptesarik;none;;N/A;Dev: libservicelog package update - ppc64le;
SLE-19391;486182;;michals;In Progress;Must Have;;ptesarik;michals;;Low;Dev: servicelog package update for ppc64le;
SLE-19387;486178;;cvoegl;Done;Must Have;;NMoreyChaisemartin;cvoegl;;N/A;Dev: pmdk: Update to version 1.11;
SLE-19383;486174;;michals;Blocked;Must Have;;ptesarik;michals;;Low;Dev: Support to handle control memory access error;
SLE-19381;486172;;;In Progress;Must Have;;matz2;zxyyz;;Low;Dev: glibc: Backport ifunc optimizations for ppc64le from upstream;
SLE-19379;486170;;michals;Blocked;Must Have;;ptesarik;michals;;Low;Dev: Add support for reporting dirty shutdown count (NDCTL part);
SLE-22297;498192;Jeffreycheung;;In Progress;Should Have;;joeyli;shunghsiyu;;N/A;Dev: Update BPF tooling to their latest version in SLES15SP4;
SLE-22293;498123;Jeffreycheung;;Planning;Could Have;;hreinecke;;;N/A;Dev: Add support for a NVMe-oF-TCP CDC Client in SLES - TP 8010;
SLE-22287;498093;ihno;;In Progress;Must Have;;matz2;tomdevries;;N/A;Dev: BINUTILS: Support for new IBM Z Hardware - GDB Part;
SLE-21594;493779;fcrozat;;In Progress;Must Have;;sreeves1;brunoleon;;N/A;Dev: Create an RMT container for SLE 15 SPx to bring the SLE world closer to the cloud- and container-native world;
SLE-21587;493772;suntorytimed;;In Progress;Should Have;;yfjiang;none;;N/A;Dev: update colord-gtk;
SLE-21570;493670;suntorytimed;pgajdos;Done;Could Have;;kstreitova;pgajdos;;Medium;Dev: 15sp4: version update of mtools to 4.0.newest;
SLE-21553;493575;aginies;;Planning;Should Have;;ta-ro;;;N/A;Dev: HPC: Update SLURM to 22.05 or later;
SLE-21547;493514;aginies;;Blocked;Could Have;;claudiofontana;none;;N/A;Dev: SUMA integration;
SLE-21536;493500;gameboy974;;Planning;Could Have;;lrupp;none;;N/A;Dev: Renaming JeOS to Minimal-VM and Minimal-Image or just Minimal;
SLE-21534;493498;lkocman;;Planning;Could Have;;sreeves1;none;;N/A;Dev: Create a WSL pattern or metapackage;
SLE-21532;493496;gameboy974;gmoro;Planning;Could Have;;bruclik;none;;N/A;Dev: Renaming JeOS to Minimal-VM and Minimal-Image or just Minimal;
SLE-21528;493490;lkocman;;Planning;Could Have;;kvanderveer;none;;N/A;"Dev: WSL Team: Move templating of AppxManifest.xml to KIWI templated definition, package wsl-appx becomes static metadata assets only";
SLE-18867;484964;;;Open;Should Have;;claudiofontana;charlesa;;N/A;Dev: Unable to set timeout for XVDx devices in domU;
SLE-18854;484925;;;Done;Must Have;;ptesarik;michals;;Low;Dev: Add support for reporting dirty shutdown count (kernel part);
SLE-18852;484923;;;Blocked;Must Have;;ptesarik;michals;;Low;Dev: Enable kernel config options for Power arch hardening;
SLE-18848;484918;;;Blocked;Must Have;;ptesarik;michals;;N/A;Dev: iprutils package update - ppc64le;
SLE-18846;484916;;;Blocked;Must Have;;ptesarik;michals;;Low;Dev: Power kernel vmap stack;
SLE-18844;484914;;;Done;Must Have;;ptesarik;michals;;Low;Dev: Enable NX-GZIP engine on PowerVM;
SLE-18840;484910;;michals;Blocked;Must Have;;ptesarik;none;;Low;Dev: [P10] POWER10 performance enhancements for cryptography in the kernel;
SLE-20052;488590;;;In Progress;Should Have;;yfjiang;none;;N/A;Dev: Tech Preview to enable Wayland on the latest Nvidia proprietary driver.;
SLE-20050;488588;;;Done;Must Have;;ptesarik;duwe;;N/A;Dev: libxkbcommon upgrade;
SLE-20037;488439;;;Open;Must Have;;STorresi;none;;High;Dev: Hawk 2.x security audit and big patch release;
SLE-20033;488435;;varkoly;Under Review;Could Have;;STorresi;none;;Low;Dev: remove libssh2-1 from sap-hana pattern;
SLE-20025;488403;;;Blocked;Should Have;;mhocko;none;;Medium;Dev: Secured-Core (DRTM);
SLE-20020;488356;;joeyli;In Progress;Should Have;;joeyli;;;N/A;"Dev: fwupd: Staying on up-to-date firmware is important, why not make it easy?";
SLE-20018;488354;;;Rejected;Should Have;;j_renner;mlandres;;N/A;"Dev: zypper: Staying on up-to-date firmware is important, why not make it easy?";
SLE-19998;488134;;alarrosa;Open;Must Have;;sreeves1;none;;Low;Dev: gstreamer update 1.20.x;
SLE-19996;488132;;;In Progress;Should Have;;yfjiang;none;;N/A;Dev: Tech Preview to enable Wayland on the latest Nvidia proprietary driver.;
SLE-19981;488093;;joro;Done;Could Have;;mhocko;none;;N/A;Dev: IOMMU: Allow devices to have more than 32 outstanding PRQ;
SLE-19956;487852;;;Rejected;Could Have;;mhocko;none;;N/A;Dev: DMA IOMMU PCI: Expose MSI-x to user space drivers for polling;
SLE-19954;487850;;jones_tony;Blocked;Could Have;;mgorman;jones_tony;;Low;Dev: perf: Support --cputype option for hybrid events;
SLE-19952;487785;holgisms;lee_duncan;Planning;Should Have;;hreinecke;lee_duncan;;Low;Dev: Update the Microchip pmcraid driver;
SLE-19950;487783;holgisms;lee_duncan;Planning;Must Have;;hreinecke;lee_duncan;;Low;Dev: Update the Microchip pm80xx/pm8001 driver;
SLE-19948;487781;holgisms;mwilck;Done;Must Have;;hreinecke;mwilck;;Medium;Dev: Microchip hpsa driver update;
SLE-19946;487779;holgisms;dkirjanov;Done;Must Have;;hreinecke;dkirjanov;;Medium;Dev: Solarflare needs the sfc driver update with patches going into kernel 5.14;
SLE-19944;487777;holgisms;NMoreyChaisemartin;Done;Should Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update the perftest for Mellanox/NVIDIA;
SLE-19942;487775;;joro;In Progress;Could Have;;mhocko;none;;Medium;Dev: AMD SEV-SNP Guest support;
SLE-19940;487773;;patrikjakobsson;Done;Could Have;;ptesarik;patrikjakobsson;;N/A;Dev: AMD GPU Dimgrey Cavefish support;
SLE-19938;487771;;patrikjakobsson;Done;Could Have;;ptesarik;patrikjakobsson;;N/A;Dev: AMD GPU Green Sardine support;
SLE-19936;487769;;;Done;Should Have;;claudiofontana;jziviani;;N/A;Dev: AMD SEV-ES Host support;
SLE-19934;487767;;patrikjakobsson;Done;Could Have;;ptesarik;patrikjakobsson;;N/A;Dev: AMD GPU Yellow Carp support;
SLE-19932;487765;;patrikjakobsson;Done;Could Have;;ptesarik;patrikjakobsson;;N/A;Dev: AMD GPU Beige Goby support;
SLE-19930;487763;holgisms;tsbogend;In Progress;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Pensando iconic driver;
SLE-19928;487761;holgisms;mwilck;Done;Must Have;;hreinecke;mwilck;;High;Dev: Microchip smartpqi driver update;
SLE-19926;487759;holgisms;lee_duncan;Done;Must Have;;hreinecke;lee_duncan;;Low;Dev: Update the Microchip aacraid driver;
SLE-19907;487714;holgisms;tsbogend;Open;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Chelsio cxgb4vf driver;
SLE-19903;487710;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update the rdma core for Mellanox/NVIDIA;
SLE-19895;487702;;joeyli;In Progress;Should Have;;joeyli;none;;N/A;Dev: ACPI NFIT/HMAT Updates;
SLE-19893;487700;;joeyli;In Progress;Should Have;;joeyli;none;;N/A;Dev: ACPI 6.4 Support;
SLE-19891;487698;holgisms;lee_duncan;Planning;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Update the Chelsio cxgbit driver;
SLE-19889;487696;holgisms;tsbogend;Open;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Chelsio iw_cxgb4 driver;
SLE-19887;487694;holgisms;lee_duncan;Done;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Update the Chelsio cxgb4i driver;
SLE-19885;487692;holgisms;tsbogend;Open;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Chelsio cxgb4 driver;
SLE-19883;487690;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update specific Chelsio parts of libibverbs;
SLE-19881;487688;holgisms;lee_duncan;Done;Should Have;;hreinecke;lee_duncan;;Medium;Dev: Update the Chelsio csiostor driver;
SLE-19879;487686;holgisms;tsbogend;Open;Should Have;;hreinecke;tsbogend;;Medium;Dev: Update the Chelsio soft iWarp;
SLE-19877;487684;holgisms;tsbogend;Open;Should Have;;hreinecke;tsbogend;;Medium;Dev: Update the Chelsio inline TLS driver;
SLE-19875;487682;holgisms;dkirjanov;Done;Must Have;;hreinecke;dkirjanov;;Medium;Dev: Update the Marvell qed driver;
SLE-19873;487680;holgisms;lee_duncan;Done;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Update the Marvell qedi driver;
SLE-19871;487678;holgisms;lee_duncan;Done;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Update the Marvell qedf driver;
SLE-19869;487676;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update the Mellanox/Nvidia libvma parts;
SLE-19866;487673;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update ucx (openucx) Mellanox/Nvidia;
SLE-19865;487672;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Low;Dev: Update the mstflint for Mellanox/Nvidia;
SLE-19861;487668;holgisms;tiwai;Done;Must Have;;ptesarik;tiwai;;N/A;Dev: Update the Chelsio cxgb4 firmware;
SLE-19859;487666;holgisms;mkubecek;Open;Must Have;;hreinecke;mkubecek;;Medium;Dev: Update iproute2 for Chelsio;
SLE-19857;487664;holgisms;wagi;Open;Must Have;;hreinecke;wagi;;Medium;Dev: Update the Marvell qla2xxx driver;
SLE-19855;487662;holgisms;dkirjanov;In Progress;Must Have;;hreinecke;dkirjanov;;Medium;Dev: Update the Marvell atlantic kernel driver;
SLE-19853;487660;holgisms;dkirjanov;Open;Must Have;;hreinecke;dkirjanov;;Medium;Dev: Update the Marvell qedr driver;
SLE-19851;487658;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update the Marvell libqedr library;
SLE-19849;487656;holgisms;dkirjanov;Open;Must Have;;hreinecke;dkirjanov;;Medium;Dev: Update the Marvell qede driver;
SLE-19847;487654;holgisms;lee_duncan;In Progress;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Update the Open-lldpad for Mellanox/Nvidia;
SLE-19841;487648;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update the ibutils for Mellanox/Nvidia;
SLE-19839;487646;holgisms;mkubecek;Open;Must Have;;hreinecke;mkubecek;;Medium;Dev: Update ethtool including any Mellanox specifics;
SLE-19837;487644;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Pull in openmpi2 updates for Mellanox/Nvidia;
SLE-19835;487642;holgisms;jsikes;Done;Must Have;;kstreitova;jsikes;;High;Dev: openssl update for Mellanox/Nvidia;
SLE-19833;487640;holgisms;NMoreyChaisemartin;Open;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: libpacap1 update for Mellanox/Nvidia;
SLE-19831;487638;holgisms;mkubecek;Open;Must Have;;hreinecke;mkubecek;;Medium;Dev: Update iproute2 for Mellanox/Nvidia;
SLE-19829;487636;holgisms;mbrugger;Done;Must Have;;ptesarik;mbrugger;;N/A;Dev: Update the rshim to the most recent;
SLE-19827;487634;holgisms;lee_duncan;Planning;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Update the Chelsio libcxgbi library;
SLE-19823;487630;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update the Chelsio libcxgb4 library;
SLE-19821;487628;holgisms;tsbogend;Open;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Chelsio chcr;
SLE-19819;487626;holgisms;dkirjanov;Open;Must Have;;hreinecke;dkirjanov;;Low;Dev: Update the Marvell qlcnic driver;
SLE-19817;487624;holgisms;dkirjanov;Open;Must Have;;hreinecke;dkirjanov;;Low;Dev: Update the Marvell qlge driver;
SLE-19815;487622;holgisms;hreinecke;In Progress;Should Have;;hreinecke;;;Low;Dev: Upate the Marvell bna driver;
SLE-19813;487620;holgisms;hreinecke;In Progress;Should Have;;hreinecke;hreinecke;;Low;Dev: Update the Marvell bfa driver;
SLE-19811;487618;holgisms;dkirjanov;Done;Must Have;;hreinecke;dkirjanov;;Medium;Dev: Update the Marvell bnx2x driver;
SLE-19809;487616;holgisms;dkirjanov;Open;Must Have;;hreinecke;dkirjanov;;Medium;Dev: Update the Marvell bnx2 driver;
SLE-19807;487614;holgisms;lee_duncan;Done;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Update the Marvell bnx2i driver;
SLE-19805;487612;holgisms;lee_duncan;Planning;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Update the Marvell bnx2fc kernel driver;
SLE-19803;487610;holgisms;lee_duncan;Planning;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Marvell cnic driver update;
SLE-19801;487608;holgisms;wagi;Open;Must Have;;hreinecke;wagi;;Medium;Dev: Need to enable boot from SAN with NVMe over Fibre;
SLE-19799;487606;a_faerber;mbrugger;Planning;Must Have;;ptesarik;mbrugger;;N/A;Dev: Add BlueField-3 support along with 1 and 2;
SLE-19797;487604;holgisms;tsbogend;Open;Must Have;;hreinecke;tsbogend;;Medium;Dev: Support the Mellanox/NVIDIA ConnectX 7;
SLE-19795;487602;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: Update opensm for Mellanox/NVIDIA;
SLE-19793;487600;holgisms;tsbogend;In Progress;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Mellanox/Nvidia mlx5_core driver;
SLE-19791;487598;holgisms;tsbogend;Open;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Mellanox/NVIDIA mlx5_ib driver;
SLE-19787;487594;holgisms;tsbogend;Open;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Mellanox/NVIDIA mlx4_core;
SLE-19785;487592;holgisms;tsbogend;Open;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Mellanox/NVIDIA mlx4_ib driver;
SLE-19783;487590;holgisms;tsbogend;In Progress;Must Have;;hreinecke;tsbogend;;Medium;Dev: Update the Mellanox/NVIDIA mlx4_en driver;
SLE-19766;487515;;jsikes;Open;Could Have;;kstreitova;jsikes;;High;Dev: Backport Arm openssl 3 improvements to openssl 1.1.1k;
SLE-19756;487498;;jsikes;Planning;Could Have;;kstreitova;jsikes;;N/A;Dev: openSSL 3;
SLE-19754;487496;;pgajdos;Done;Could Have;;kstreitova;pgajdos;;Low;Dev: Update LibVNCServer to 0.9.13;
SLE-19744;487480;;yfjiang;Open;Should Have;;yfjiang;none;;Low;Dev: Update NTFS driver and tools;
SLE-19740;487462;;federico-mena;Open;Should Have;;sreeves1;none;;Low;Dev: Address gnome-terminal on Wayland regressing by losing geometry support for ;
SLE-19738;487460;;alarrosa;In Progress;Could Have;;sreeves1;none;;Medium;Dev: Consider PipeWire for SLE 15 SP4;
SLE-19736;487456;;LPechacek;Done;Should Have;;suntorytimed;none;;N/A;Dev: Switch to compressed firmware files in SLE;
SLE-19730;487405;holgisms;mwilck;Done;Must Have;;hreinecke;mwilck;;Medium;Dev: Broadcom/LSI mpt2sas/mpt3sas update;
SLE-19728;487403;;hreinecke;Rejected;Should Have;;hreinecke;hreinecke;;N/A;Dev: qlnativefc:  update driver to latest upstream version;
SLE-19726;487401;holgisms;mwilck;Done;Must Have;;hreinecke;mwilck;;Medium;Dev: Update the Broadcom megaraid_sas driver;
SLE-19724;487399;holgisms;lee_duncan;Done;Must Have;;hreinecke;lee_duncan;;Medium;Dev: Broadcom mpi3mr driver addition;
SLE-19722;487397;holgisms;wagi;In Progress;Must Have;;hreinecke;wagi;;Medium;Dev: Broadcom Emulex lpfc driver update;
SLE-19720;487395;holgisms;dkirjanov;Done;Must Have;;hreinecke;dkirjanov;;Medium;Dev: Update the Broadcom tg3 driver from the latest upstream parts;
SLE-19718;487393;holgisms;dkirjanov;Open;Must Have;;hreinecke;dkirjanov;;Low;Dev: Update the Broadcom be2net driver;
SLE-19716;487391;holgisms;lee_duncan;Done;Must Have;;hreinecke;lee_duncan;;Low;Dev: Update the Broadcom be2iscsi driver;
SLE-19712;487387;;;Rejected;Should Have;;BenniBrunner;rwill;;N/A;Dev: Support ACPI PMTT ;
SLE-19708;487383;holgisms;NMoreyChaisemartin;Done;Must Have;;hreinecke;NMoreyChaisemartin;;Low;Dev: Broadcom libbnxtre update;
SLE-19706;487381;holgisms;tsbogend;Open;Must Have;;hreinecke;tsbogend;;Medium;Dev: Broadcom bnxt_re driver update;
SLE-19704;487379;holgisms;dkirjanov;Done;Must Have;;hreinecke;dkirjanov;;Medium;Dev: Broadcom bnxt_en driver update;
SLE-19701;487341;;wagi;Open;Must Have;;hreinecke;wagi;;Medium;Dev: Update nvme driver for POWER (NVMe);
SLE-18613;483688;;AngelaBriel;Open;Wish to Have;;STorresi;none;;Low;Dev: SAPHanaSR Cost-Optimized security improvement;
SLE-18590;483620;;ptesarik;In Progress;Must Have;;ptesarik;ptesarik;;N/A;Dev: SMC-R v2 Support;
SLE-18588;483618;;ptesarik;Done;Must Have;;ptesarik;ptesarik;;N/A;Dev: SMC: Statistics Support - kernel part;
SLE-18586;483616;;;Rejected;Must Have;;ptesarik;none;;N/A;Dev: SMC: Support Multiple Elements per RMB/DMB;
SLE-18584;483614;;ptesarik;Open;Must Have;;ptesarik;ptesarik;;N/A;Dev: SMC: Add User-defined EID (Enterprise ID) Support - kernel part;
SLE-18582;483612;;ptesarik;Done;Must Have;;ptesarik;ptesarik;;N/A;Dev: RoCE: Predictable Interface Names - kernel part;
